,Unnamed: 0,t,x,y,z,rx,ry,rz,vx,vy,vz,Fx,Fy,Fz,Mx,My,Mz,Case
0,0,2.21073842048645,-0.1378828685680486,-0.5063573064059536,0.0725873404634602,-0.0001761297648277,1.1122408362337245e-05,4.2187446926760026e-05,-3.079723746830725e-06,-0.000434189697829,-0.003842419758246,-0.0113768449292662,0.2943287720167106,3.2704052732837874,0.023352639877318,-0.008031628389901,0.0019684384043488,False
1,1,2.2205686569213867,-0.1378913210943193,-0.5063802092982979,0.0725795674738816,-0.0002353679782676,-3.379483051342386e-07,-6.7007250365798125e-06,-9.757351938719715e-06,-0.0010983768813826,-0.0020772139180737,-0.1604222422639706,-0.164526113334133,1.7774930584094537,0.0371834406617378,-0.0054523295647072,0.0008060924998856,False
2,2,2.2275726795196533,-0.1379097285285075,-0.506381309023686,0.072571788735891,-0.0002477659676147,-2.474825818488481e-07,-3.158433863935602e-05,-5.071609947444162e-06,-0.0006165364205726,-0.0025790873028184,0.1680648147019124,0.3234959430517413,3.0810873721735184,0.037120665706837,-0.0062917071073145,0.0009144841656339,False
3,3,2.2352097034454346,-0.1379003386874833,-0.5064165326001115,0.0725741624858694,-0.000354345179046,2.450312346272015e-05,-7.07464960903253e-06,-4.65038954547457e-06,-0.000562505460713,-0.0022075612729513,-0.1739426141043606,0.3666751536583588,4.2400180439978685,0.0537298404826943,-0.0130165416981202,-0.0012125504270526,False
4,4,2.2422244548797607,-0.1379143144716348,-0.5064071000449462,0.072549905664793,-0.0003062999770093,1.210203491976738e-05,-5.574531558429548e-05,-5.408757612307438e-06,-0.0006247109159492,-0.0019805564718541,-0.1012727345694095,0.6523173417364465,5.404801538889927,0.0711222999350705,-0.0178753828665101,0.000192913548481,False
5,5,2.2495663166046143,-0.1378874705570345,-0.506434565907012,0.0725328368092373,-0.0003647028743052,-1.1282164296817262e-05,4.028620168178205e-05,4.241525362402152e-06,0.0003898460159145,-0.0018930232054342,-0.1333662910365625,0.4045833640684806,6.428950982150917,0.075704094435781,-0.0135107444905196,0.0010150245179748,False
6,6,2.257990598678589,-0.137900344995959,-0.5064174290669302,0.0725230802461519,-0.0003409948664689,2.4282393099082096e-05,-7.338144367899948e-06,9.42292431150542e-06,0.0009537224655019,-0.0016472348829805,-0.2603997365752707,0.7161997519683532,6.285711307934291,0.0840409348897662,-0.0152718547218938,0.0009836292536602,False
7,7,2.2666356563568115,-0.1379034249246843,-0.5064343433276134,0.0725380127146508,-0.000400348774562,9.744157620960954e-07,-6.488546283187221e-06,1.493400510757825e-05,0.0015285940105564,-0.0019135235115694,-0.2123729491220016,0.5683192753906408,7.294770166547727,0.0765518530507356,-0.0200303698913892,-0.0002627313851009,False
8,8,2.274255752563477,-0.1378914969863233,-0.5064037682701141,0.0725228757761437,-0.000364585711,7.040429038668205e-07,-7.340515024439838e-06,9.732090300309393e-06,0.0009660188718568,-0.0016494541776996,-0.1879592239083845,0.5522173636513323,7.955376395048607,0.084638455812255,-0.0195113789123587,0.0043321604118311,False
9,9,2.2820186614990234,-0.1378815036924129,-0.5064216585787532,0.0725374042669294,-0.0004128605365637,-1.0776457385979948e-05,5.171832851710956e-05,1.5907786815437014e-05,0.0016312270847152,-0.0018531549294499,-0.3330549217863056,0.3620731176769973,8.57936136996949,0.0773544417587458,-0.0231609332556233,0.0003735565140732,False
10,10,2.29004430770874,-0.1378959014802828,-0.5064112229188491,0.0725292913812911,-0.0004126309111961,1.306965048828416e-05,4.5032889863693074e-06,1.614084996544938e-05,0.0016526197334198,-0.001681937757681,-0.3337771109739585,0.6103826524121032,9.194478090059548,0.0752374543989618,-0.0223209610396868,0.000155136544572,False
11,11,2.2986323833465576,-0.1379015930984853,-0.5063980017718922,0.0725005961637487,-0.0003635178581482,1.2587177548055126e-05,-3.128700442472904e-05,1.885270079076268e-05,0.0019352285852883,-0.0018046157522325,-0.4033356620985823,0.2557907920286502,9.65219288441726,0.0669016729894486,-0.0215491017791811,-0.0003410059233097,False
12,12,2.3065783977508545,-0.1378942035751828,-0.5063829789220745,0.0724932337995695,-0.0003643362743146,-2.3135542360374478e-05,-3.0336853614124747e-05,1.5633812622245655e-05,0.0015875485862114,-0.0012350091280902,-0.5438742515897642,0.2654566273771979,10.577223661947636,0.0669579650468133,-0.031353537586725,-0.0012698445221476,False
13,13,2.3141043186187744,-0.1379013375336452,-0.5063724671366352,0.0724957082876979,-0.0003401543594959,1.2443156717092627e-05,-6.861360862717133e-06,1.405124685573302e-05,0.0014219036941777,-0.0009658202899966,-0.4666634111861894,0.0972554821704775,10.869823210605608,0.0545204959076665,-0.0279506313955065,-0.001069806947181,False
14,14,2.322594165802002,-0.1378998357089232,-0.506369708655692,0.0725046454428639,-0.0003648357031401,2.463064378057776e-05,2.84469051444586e-05,1.313798149045083e-05,0.0013281982311004,-0.0006455763192443,-0.466776265647742,0.1327204733055174,10.879069168711398,0.0529568967044151,-0.0260814843769715,0.0024532165015997,False
15,15,2.3301355838775635,-0.1378970627996378,-0.5063813971581442,0.0725064278232851,-0.0003879491251045,9.612572184253292e-07,-1.884581360201104e-05,1.650022711264482e-05,0.0016909700423356,-0.0003334752376726,-0.6322040685800256,0.0107565566850641,11.269430270091492,0.0458496345095359,-0.0312609209367132,-0.0039135986778776,False
16,16,2.337860107421875,-0.1379070510148013,-0.5063646488626619,0.072521611839436,-0.0003868816256089,1.2952274182428503e-05,-1.822550324225434e-05,2.352326117145905e-05,0.0024719849957437,-0.0005296787425386,-0.6062281868144163,-0.1703918081650636,11.400605973596944,0.0352478135338121,-0.0285827426170959,0.0028299074920494,False
17,17,2.346782684326172,-0.1378866282158325,-0.5063048850375604,0.072471057578524,-0.0002308487240368,2.351002885348201e-05,2.9705618389779912e-05,9.919502605795408e-05,0.0028977954581913,0.0005471081131808,-0.5383043352633758,-0.5964135918509765,11.254584850558064,0.0238697316600444,-0.0236068688885935,0.0028750353149976,False
18,18,2.354300737380981,-0.1379134408806292,-0.5063245486502475,0.0725274493045114,-0.0003282322878873,1.253020271672069e-05,-3.129924116433199e-05,0.0001620235616858,0.0034844383156871,0.0004222177093728,-0.7393162011147947,-0.8578438658679619,10.576413162128947,0.0004780289519179,-0.0262664064110357,0.0033480014592419,False
19,19,2.3623712062835693,-0.1378813888878939,-0.506278244701679,0.072484436947115,-0.0002084193742011,-2.476646336886132e-05,-6.827191189209366e-06,0.0001723943961357,0.0038028526673634,0.0002456250428803,-0.5709734516459013,-0.914552309239083,10.423756445222804,-0.0286921358320818,-0.0202228188491454,0.0042866888362762,False
20,20,2.370352268218994,-0.1379033150429845,-0.5062804005050526,0.072525326240121,-0.0002440843834149,3.572240600878031e-05,5.266936289677291e-06,0.0001952584302477,0.0036523533174564,8.439907566968393e-05,-0.6434473509352674,-1.4045217883018528,10.091821240734216,-0.0444708624818002,-0.0200540738384989,-2.8037827556466784e-05,False
21,21,2.3782575130462646,-0.1378991605033785,-0.5062150440114467,0.0725051253795782,-0.000149293036639,-2.5102740187687687e-05,-4.2635471788334265e-05,0.000234285070363,0.0034346234139672,0.0002804426147828,-0.6154437695060309,-1.510880768078232,10.231145611562509,-0.0700567388337482,-0.0175950576255009,-0.0019343606723852,False
22,22,2.385976076126098,-0.1379036183438007,-0.5062084566779014,0.0724987932754311,-0.0001363031969381,-1.2811951922892276e-05,5.064653535291304e-06,0.0002447160253709,0.003532091015327,-9.698730295513676e-05,-0.7984353784286085,-1.660016036523456,9.92775229484805,-0.0957399123076341,-0.0183743283345985,-0.0053316038502536,False
23,23,2.3952763080596924,-0.1378907821674226,-0.5061815924494406,0.0724824942519184,-6.334636745630835e-05,-1.344419388138835e-05,-3.006989455157104e-05,0.0002115996837811,0.0035711584529971,-1.982482963534954e-05,-0.6387176423471885,-1.8863906356433224,9.40020048665803,-0.1175481628076346,-0.0116076811677486,-0.009210370210639,False
24,24,2.402042865753174,-0.1378762794028929,-0.5061848616773983,0.0725218165547515,-0.0001494013557752,-3.6407858385487445e-05,5.739169857390939e-06,0.0001850632390751,0.0031531770768239,7.876231269733304e-05,-0.7655041389781224,-2.2319496205354983,9.529920582098224,-0.1323336098389557,-0.0172155396334232,-0.0058031718957737,False
25,25,2.409794807434082,-0.1378845997556136,-0.5061439956580582,0.0724911315674426,-2.9495473547927973e-05,-1.3620410932970706e-05,5.458033686128038e-05,0.0001669567836045,0.0025433385311779,0.000427096059134,-0.7916517095066876,-2.282439426431952,9.45409110794552,-0.1544998106274408,-0.0177876592396001,-0.015560371357964,False
26,26,2.4185478687286377,-0.1378879527819094,-0.5061402476647764,0.0725111524564121,-6.834734369353209e-05,-3.705514116396585e-05,5.461269994716648e-05,-0.0001092163219654,0.0024561411460107,0.0005275013540262,-0.5855253051537822,-2.406570306607503,9.263287131535758,-0.1744351725355437,-0.0140304482472832,-0.0135344415075693,False
